conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,processed_text,sentiment,confidence
1773911659364659582,Sat Mar 30 03:14:31 +0000 2024,0,Saya telah menang semuanya - Messi Messi sudah berjaya menjulang pelbagai trofi sepanjang kariernya dan mengakui sudah rasa cukup dengan pencapaian yang diraihnya itu. #sinarharian #Messi #PialaDunia https://t.co/7IgXxnmARS,1773911659364659582,,,in,Malaysia,0,0,0,https://x.com/SinarOnline/status/1773911659364659582,331383958,SinarOnline,menang messi messi jaya julang pelbagai trofi karier aku capai raih,Neutral,0.513481080532074
1773740305579479334,Fri Mar 29 15:53:38 +0000 2024,1,https://t.co/33cPo9wLCE Sehabis Gareth Southgate menganjurkan supaya dia memilah skuad yang lebih besar UEFA berkata mereka hendak memikirkan permintaan buat mempraktikkan kembali batas 26 pemain. #EURO #Euro2024 #GarethSouthgate #PialaDunia2022 #Pildun #PialaDunia https://t.co/YjZy5V2ccg,1773740305579479334,https://pbs.twimg.com/media/GJ2XZyobcAEi05t.jpg,,in,,0,1,0,https://x.com/BandarBolaTop/status/1773740305579479334,1333880876707397634,BandarBolaTop,habis gareth southgate anjur mem skuad uefa pikir minta praktik batas 26 main,Neutral,0.5255294442176819
1773226823268131104,Thu Mar 28 05:53:14 +0000 2024,2,Gimana menurut kalian pemain naturalisasi ini gacor GK farm= $BLOCK #TimnasDay #pialadunia #timnasindonesia #PSSI #sepakbola #beritabola https://t.co/faiYjlPiNV,1773226823268131104,https://pbs.twimg.com/ext_tw_video_thumb/1773226711825682432/pu/img/ycpN5qUGG4qmmG3p.jpg,,in,Indonesia,0,3,1,https://x.com/Fajrin_123321/status/1773226823268131104,835042700,Fajrin_123321,gimana main naturalisasi gacor gk farm block,Neutral,0.5602787137031555
1772967747049382161,Wed Mar 27 12:43:45 +0000 2024,6,Kelayakan Piala Dunia/Asia: Disebalik kekalahan yang perit Kim Pan Gon turut simpati dengan pemain negara yang dikatakan kekurangan aksi kompetitif ! #NadiArena #AstroArena #PialaDunia #KimPanGon https://t.co/xQu9a1SiuF,1772967747049382161,https://pbs.twimg.com/media/GJuj9P_aEAAKRYM.jpg,,in,Bukit Jalil ,0,0,2,https://x.com/ASTROARENA/status/1772967747049382161,160788306,ASTROARENA,layak piala duniaasia balik kalah perit kim pan gon simpati main negara kurang aksi kompetitif,Neutral,0.5552265644073486
1772967065445601721,Wed Mar 27 12:41:03 +0000 2024,3,Kelayakan Piala Dunia/Asia: Dengan kesebelasan pemain yang dimiliki Malaysia sepatutnya mampu catat keputusan yang lebih baik di bukit Jalil! - Datuk K. Rajagobal #NadiArena #AstroArena #PialaDunia #KimPanGon https://t.co/MagnLEF8YD,1772967065445601721,https://pbs.twimg.com/media/GJukAE-boAAhvKD.jpg,,in,Bukit Jalil ,0,0,1,https://x.com/ASTROARENA/status/1772967065445601721,160788306,ASTROARENA,layak piala duniaasia sebelas main milik malaysia patut catat putus bukit jalil datuk rajagobal,Neutral,0.5049576759338379
1772966489894871140,Wed Mar 27 12:38:45 +0000 2024,6,Bagai dah jatuh ditimpa tangga..Nasib Azam Azmi tambah malang kerana mungkin terpaksa lupakan aksi di Qatar akibat kecederaan yang dialami ketika aksi Malaysia dengan Oman! ‍️‍️ #NadiArena #AstroArena #PialaDunia https://t.co/pab5l0UVmr,1772966489894871140,https://pbs.twimg.com/media/GJuj63BaMAAWV6X.jpg,,in,Bukit Jalil ,0,0,2,https://x.com/ASTROARENA/status/1772966489894871140,160788306,ASTROARENA,dah jatuh timpa tangganasib azam azmi malang rana paksa lupa aksi qatar akibat cedera alami aksi malaysia om,Neutral,0.5406122803688049
1772965379775873521,Wed Mar 27 12:34:21 +0000 2024,4,Kelayakan Piala Dunia/Asia: Penjaga gol Oman Ibrahim Al Mukhaini enggan dianggap sebagai wira walau catat kemenangan ke atas Malaysia di tempat lawan! #NadiArena #AstroArena #PialaDunia https://t.co/wYXXr5Ddhb,1772965379775873521,https://pbs.twimg.com/amplify_video_thumb/1772961759319797760/img/_iN4_9vwBJctTNTu.jpg,,in,Bukit Jalil ,0,0,0,https://x.com/ASTROARENA/status/1772965379775873521,160788306,ASTROARENA,layak piala duniaasia jaga gol om ibrahim al mukhaini enggan anggap wira catat menang malaysia lawan,Neutral,0.5371384620666504
1772932194991735250,Wed Mar 27 10:22:29 +0000 2024,0,Harapan Indonesia Lolos Semakin Besar 6 Tim ke Putaran Ketiga Kualifikasi Piala Dunia FIFA 2026 #Berita #Seketika #fyp #fypシ #bola #FIFAWorldCup #KualifikasiAsia #SepakBola #TimNasional #PialaDunia #HasilPertandingan https://t.co/IGT6HhLgdl,1772932194991735250,,,in,Jakarta,0,0,0,https://x.com/seketikanet/status/1772932194991735250,1696426676065038336,seketikanet,harap indonesia lolos tim putar tiga kualifikasi piala dunia fifa 2026,Neutral,0.5191012620925903
1772904691459854796,Wed Mar 27 08:33:12 +0000 2024,2,Walau sempat disindir terus oleh Vietnam Skuad Garuda sukses membuktikan kelas dengan membobol gawang Vietnam 3 gol tanpa balas kemarin malam! Nikmati LIVE STREAMING GRATIS hanya dengan join Telegram Channel yang ada di LINK BIO ️ #TimnasIndonesia #PSSI #PialaDunia https://t.co/u7RozlH6Tf,1772904691459854796,https://pbs.twimg.com/ext_tw_video_thumb/1772904641866727424/pu/img/QnFtOt3bfpGgT-0i.jpg,,in,,0,0,1,https://x.com/esnlineofficial/status/1772904691459854796,1752716682752360448,esnlineofficial,sindir vietnam skuad garuda sukses bukti kelas bobol gawang vietnam gol balas kemarin malam nikmat live streaming gratis join telegram channel link bio,Neutral,0.5349608659744263
1772870144886518125,Wed Mar 27 06:15:55 +0000 2024,0,pertandingan BRI liga 1 2023-2024 kamis 28 maret 2024. service berpengalaman akan melayani selama 24 jam nonstop. https://t.co/H3YXoCJZOR #liga365 #jadwalbola #pialadunia #fifa #argentina #prancis #agenbola #bandarbola #judibola #taruhanbola #sportbook #bettingbola https://t.co/37Bp8Yj3QB,1772870144886518125,https://pbs.twimg.com/media/GJp_3Z0bUAAydg0.jpg,,in,,0,0,0,https://x.com/situs_liga365/status/1772870144886518125,1512383861484752900,situs_liga365,tanding bri liga 20232024 kamis 28 maret 2024 service alam layan 24 jam nonstop,Neutral,0.5120437145233154
1772868384876871873,Wed Mar 27 06:08:55 +0000 2024,0,#BuletinBernama : Kekalahan kepada Oman dalam kempen pusingan kedua kelayakan Piala Dunia 2026/Piala Asia 2027 bukanlah pengakhiran buat Malaysia. #digitalbernamatv #pialadunia #pialaasia #KimPanGon https://t.co/DDZCwyjj3Z,1772868384876871873,,,in,Kuala Lumpur,0,0,0,https://x.com/BernamaTV/status/1772868384876871873,196460981,BernamaTV,kalah om kempen pusing layak piala dunia 2026piala asia 2027 akhir malaysia,Neutral,0.6189690232276917
1772801257545302450,Wed Mar 27 01:42:11 +0000 2024,3,Romo Magnis Bela Paus Fransiskus soal Seruan agar Ukraina Angkat Bendera Putih dalam Perang Vs Rusia #Pausfransiskus #gerejakatolik #bangjay #ormas #pialadunia via @katoliknews https://t.co/9NbK8dJRKa,1772801257545302450,,,in,,0,0,3,https://x.com/KatolikNews/status/1772801257545302450,3262830775,KatolikNews,romo magnis bela paus fransiskus seru ukraina angkat bendera putih perang vs rusia via,Neutral,0.5128717422485352
1772791531306660289,Wed Mar 27 01:03:32 +0000 2024,0,Doa mimin dan Electrizen Indonesia maju ke fase kualifikasi babak ketiga Piala dunia 2026 Berjuang terus kalian ya semangat latihannya kita dukung lewat lampu dan energi listrik ya #Pialadunia #PLN #PLNSULUTTENGGO #PLNuntukIndonesia,1772791531306660289,,,in,"Kota Manado, Sulawesi Utara",0,0,0,https://x.com/pln_suluttenggo/status/1772791531306660289,1232198046567395328,pln_suluttenggo,doa mimin electrizen indonesia maju fase kualifikasi babak tiga piala dunia 2026 juang ya semangat latih dukung lampu energi listrik ya,Neutral,0.5951908826828003
1772600857000825159,Tue Mar 26 12:25:52 +0000 2024,2,Goallll Indonesia jadi Vietnam 0 - 1 Indonesia #TimnasDay #pialadunia https://t.co/cZFtkVMegU,1772600857000825159,https://pbs.twimg.com/media/GJmLFPqakAASneo.jpg,,in,Indonesia,0,1,1,https://x.com/Jateng_Twit/status/1772600857000825159,785145642,Jateng_Twit,goallll indonesia vietnam indonesia,Neutral,0.5233625173568726
